Release_datetime_obj,Title,Developer(s),Publisher(s),Series,Platform(s),Genre(s),Mode(s),Designer(s),Engine,Arcade system,Programmer(s),Composer(s),Director(s),Producer(s),Artist(s),Writer(s)
1971-12-03,The Oregon Trail,"['Don Rawitsch', 'Bill Heinemann', 'Paul Dillenberger']",MECC,The Oregon Trail,"['Mainframe', 'HP 2100', 'CDC Cyber 70/73-26', 'PC', 'Apple II', 'Atari 8-Bit', 'Commodore 64']",Strategy,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1972-11-29,Pong,Atari,['Namco'],Series Not Available,"['Arcade', 'dedicated consoles']",Sports,"['Single-player', 'multiplayer']",Allan Alcorn,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1977,Zork,Infocom,"['Personal Software', 'Activision']",Series Not Available,"['PDP-10', 'Atari 8-bit', 'C64', 'CP/M', 'TRS-80', 'IBM PC', 'Apple II', 'Amiga', 'Amstrad CPC', 'Amstrad PCW', 'Macintosh', 'Atari ST', 'MS-DOS', 'NEC PC-9801', 'MSX', 'PlayStation', 'Sega Saturn', 'TI-99/4A', 'Commodore Plus/4']",Text adventure,Single-player,"['Tim Anderson', 'Marc Blank', 'Dave Lebling', 'Bruce Daniels']",ZIL,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1978-04-01,Space Invaders,Taito,['Midway'],Space Invaders,"['Arcade', 'Atari 2600', 'Atari 5200', 'Atari 8-bit', 'MSX', 'handheld', 'tabletop', 'watch', 'calculator', 'NES', 'WonderSwan', 'VG Pocket', 'mobile', 'iOS']",Shoot 'em up,"Single-player , 2 players alternating",Tomohiro Nishikado,Engine Not Available,Taito 8080,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1979-11,Asteroids,"Atari, Inc.","['Taito', 'Sega']",Asteroids,"['Arcade', 'Atari 2600', 'Atari 7800', 'Atari 8-bit', 'Game Boy']",Multidirectional shooter,"['Single-player', 'multiplayer']","['Lyle Rains', 'Ed Logg']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1980-07,Adventure,"Atari, Inc.","['Atari', 'Inc.']",Series Not Available,Atari 2600,Action-adventure,Single-player,Warren Robinett,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1980-07,Missile Command,"Atari, Inc.","['Sega', 'Taito', 'Nintendo']",Series Not Available,"['Arcade', 'Atari 2600', 'Atari 5200', 'Atari 8-bit', 'Atari ST', 'Game Boy', 'Lynx']",Shoot 'em up,"['Up to 2 players', 'alternating turns']",Dave Theurer,Engine Not Available,Arcade system Not Available,Rich Adam Dave Theurer,['Rich Adam'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1980-05-22,Pac-Man,Namco,['Midway'],Pac-Man,"['Atari 2600', 'Atari 5200', 'Apple II', 'Atari 8-bit family', 'MSX', 'Nintendo Entertainment System', 'Commodore 64', 'Commodore VIC-20', 'Intellivision', 'ZX Spectrum', 'TI-99/4A', 'IBM PC', 'Game Boy', 'Game Gear', 'Game Boy Color', 'Neo Geo Pocket Color', 'PC', 'Mobile phone', 'Game Boy Advance', 'iPod Touch', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'iOS', 'Android']",Maze,"['Single-player', 'multiplayer']",Toru Iwatani,Engine Not Available,Arcade system Not Available,"['Shigeo Funaki', 'Shigeichi Ishimura']","['Shigeichi Ishimura', 'Toshio Kai']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1981-06-06,Centipede,"Atari, Inc.",['Sanritsu'],Centipede,"['Arcade', 'Apple II', 'Atari 2600', 'Atari 5200', 'Atari 7800', 'Atari 8-bit', 'BBC Micro', 'ColecoVision', 'Commodore 64', 'IBM PC', 'Intellivision', 'TI-99/4A', 'VIC-20', 'Game Boy']",Fixed shooter,"['Single-player', 'multiplayer']","['Dona Bailey', 'Ed Logg']",Engine Not Available,Arcade system Not Available,"['Dona Bailey', 'Ed Logg']",Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1981-02,Defender,Williams Electronics,['Taito'],Series Not Available,"['Arcade', 'Apple II', 'Atari 2600', 'Atari 8-bit', 'Atari 5200', 'BBC Micro', 'ColecoVision', 'Commodore 64', 'VIC-20', 'Intellivision', 'TI-99/4A', 'IBM PC', 'Adventure Vision', 'SAM Coupé', 'ZX Spectrum']",Scrolling shooter,"['Single-player', 'multiplayer']","['Eugene Jarvis', 'Larry DeMar']",Engine Not Available,Arcade system Not Available,"['Eugene Jarvis', 'Larry DeMar', 'Sam Dicker', 'Paul Dussault']",Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
